"scenario_id","method","eps","p","cov_type","design","rejection_rate"
"S02","Cheng-GM",0.1,30,"ar1","balanced",0.055
"S02","Proposed",0.1,30,"ar1","balanced",0.02
"S02","Schott",0.1,30,"ar1","balanced",0.62
"S02","Cheng-GM",0.2,30,"ar1","balanced",0.16
"S14","Cheng-GM",0.2,30,"ar1","balanced",0.09
"S02","Proposed",0.2,30,"ar1","balanced",0.18
"S14","Proposed",0.2,30,"ar1","balanced",0.065
"S02","Schott",0.2,30,"ar1","balanced",1
"S14","Schott",0.2,30,"ar1","balanced",1
"S04","Cheng-GM",0.1,50,"ar1","balanced",0.07
"S06","Cheng-GM",0.1,50,"ar1","balanced",0.065
"S18","Cheng-GM",0.1,50,"ar1","balanced",0.055
"S22","Cheng-GM",0.1,50,"ar1","balanced",0.115
"S04","Proposed",0.1,50,"ar1","balanced",0.08
"S06","Proposed",0.1,50,"ar1","balanced",0.04
"S18","Proposed",0.1,50,"ar1","balanced",0.03
"S22","Proposed",0.1,50,"ar1","balanced",0.1
"S04","Schott",0.1,50,"ar1","balanced",0.615
"S06","Schott",0.1,50,"ar1","balanced",0.97
"S18","Schott",0.1,50,"ar1","balanced",0.885
"S22","Schott",0.1,50,"ar1","balanced",1
"S04","Cheng-GM",0.2,50,"ar1","balanced",0.115
"S06","Cheng-GM",0.2,50,"ar1","balanced",0.545
"S10","Cheng-GM",0.2,50,"ar1","balanced",0.975
"S16","Cheng-GM",0.2,50,"ar1","balanced",0.09
"S18","Cheng-GM",0.2,50,"ar1","balanced",0.295
"S22","Cheng-GM",0.2,50,"ar1","balanced",0.94
"S04","Proposed",0.2,50,"ar1","balanced",0.11
"S06","Proposed",0.2,50,"ar1","balanced",0.405
"S10","Proposed",0.2,50,"ar1","balanced",0.825
"S16","Proposed",0.2,50,"ar1","balanced",0.065
"S18","Proposed",0.2,50,"ar1","balanced",0.135
"S22","Proposed",0.2,50,"ar1","balanced",0.33
"S04","Schott",0.2,50,"ar1","balanced",1
"S06","Schott",0.2,50,"ar1","balanced",1
"S10","Schott",0.2,50,"ar1","balanced",1
"S16","Schott",0.2,50,"ar1","balanced",1
"S18","Schott",0.2,50,"ar1","balanced",1
"S22","Schott",0.2,50,"ar1","balanced",1
"S08","Cheng-GM",0.1,100,"ar1","balanced",0.065
"S20","Cheng-GM",0.1,100,"ar1","balanced",0.065
"S24","Cheng-GM",0.1,100,"ar1","balanced",0.09
"S08","Proposed",0.1,100,"ar1","balanced",0.06
"S20","Proposed",0.1,100,"ar1","balanced",0.045
"S24","Proposed",0.1,100,"ar1","balanced",0.075
"S08","Schott",0.1,100,"ar1","balanced",0.975
"S20","Schott",0.1,100,"ar1","balanced",0.92
"S24","Schott",0.1,100,"ar1","balanced",1
"S08","Cheng-GM",0.2,100,"ar1","balanced",0.545
"S12","Cheng-GM",0.2,100,"ar1","balanced",0.99
"S20","Cheng-GM",0.2,100,"ar1","balanced",0.295
"S24","Cheng-GM",0.2,100,"ar1","balanced",0.98
"S08","Proposed",0.2,100,"ar1","balanced",0.31
"S12","Proposed",0.2,100,"ar1","balanced",0.86
"S20","Proposed",0.2,100,"ar1","balanced",0.085
"S24","Proposed",0.2,100,"ar1","balanced",0.39
"S08","Schott",0.2,100,"ar1","balanced",1
"S12","Schott",0.2,100,"ar1","balanced",1
"S20","Schott",0.2,100,"ar1","balanced",1
"S24","Schott",0.2,100,"ar1","balanced",1
"S01","Cheng-GM",0.1,30,"identity","balanced",0.03
"S01","Proposed",0.1,30,"identity","balanced",0.08
"S01","Schott",0.1,30,"identity","balanced",0.77
"S01","Cheng-GM",0.2,30,"identity","balanced",0.17
"S13","Cheng-GM",0.2,30,"identity","balanced",0.09
"S01","Proposed",0.2,30,"identity","balanced",0.055
"S13","Proposed",0.2,30,"identity","balanced",0.035
"S01","Schott",0.2,30,"identity","balanced",1
"S13","Schott",0.2,30,"identity","balanced",1
"S03","Cheng-GM",0.1,50,"identity","balanced",0.02
"S05","Cheng-GM",0.1,50,"identity","balanced",0.105
"S09","Cheng-GM",0.1,50,"identity","balanced",0.28
"S17","Cheng-GM",0.1,50,"identity","balanced",0.035
"S21","Cheng-GM",0.1,50,"identity","balanced",0.175
"S03","Proposed",0.1,50,"identity","balanced",0.05
"S05","Proposed",0.1,50,"identity","balanced",0.05
"S09","Proposed",0.1,50,"identity","balanced",0.065
"S17","Proposed",0.1,50,"identity","balanced",0.02
"S21","Proposed",0.1,50,"identity","balanced",0.025
"S03","Schott",0.1,50,"identity","balanced",0.835
"S05","Schott",0.1,50,"identity","balanced",1
"S09","Schott",0.1,50,"identity","balanced",1
"S17","Schott",0.1,50,"identity","balanced",0.98
"S21","Schott",0.1,50,"identity","balanced",1
"S03","Cheng-GM",0.2,50,"identity","balanced",0.14
"S05","Cheng-GM",0.2,50,"identity","balanced",0.56
"S09","Cheng-GM",0.2,50,"identity","balanced",0.995
"S15","Cheng-GM",0.2,50,"identity","balanced",0.095
"S17","Cheng-GM",0.2,50,"identity","balanced",0.285
"S21","Cheng-GM",0.2,50,"identity","balanced",0.975
"S03","Proposed",0.2,50,"identity","balanced",0.055
"S05","Proposed",0.2,50,"identity","balanced",0.035
"S09","Proposed",0.2,50,"identity","balanced",0.225
"S15","Proposed",0.2,50,"identity","balanced",0.055
"S17","Proposed",0.2,50,"identity","balanced",0.045
"S21","Proposed",0.2,50,"identity","balanced",0.06
"S03","Schott",0.2,50,"identity","balanced",1
"S05","Schott",0.2,50,"identity","balanced",1
"S09","Schott",0.2,50,"identity","balanced",1
"S15","Schott",0.2,50,"identity","balanced",1
"S17","Schott",0.2,50,"identity","balanced",1
"S21","Schott",0.2,50,"identity","balanced",1
"S07","Cheng-GM",0.1,100,"identity","balanced",0.075
"S19","Cheng-GM",0.1,100,"identity","balanced",0.035
"S23","Cheng-GM",0.1,100,"identity","balanced",0.13
"S07","Proposed",0.1,100,"identity","balanced",0.015
"S19","Proposed",0.1,100,"identity","balanced",0.03
"S23","Proposed",0.1,100,"identity","balanced",0.02
"S07","Schott",0.1,100,"identity","balanced",1
"S19","Schott",0.1,100,"identity","balanced",0.995
"S23","Schott",0.1,100,"identity","balanced",1
"S07","Cheng-GM",0.2,100,"identity","balanced",0.58
"S11","Cheng-GM",0.2,100,"identity","balanced",0.995
"S19","Cheng-GM",0.2,100,"identity","balanced",0.275
"S23","Cheng-GM",0.2,100,"identity","balanced",0.96
"S07","Proposed",0.2,100,"identity","balanced",0.085
"S11","Proposed",0.2,100,"identity","balanced",0.32
"S19","Proposed",0.2,100,"identity","balanced",0.11
"S23","Proposed",0.2,100,"identity","balanced",0.065
"S07","Schott",0.2,100,"identity","balanced",1
"S11","Schott",0.2,100,"identity","balanced",1
"S19","Schott",0.2,100,"identity","balanced",1
"S23","Schott",0.2,100,"identity","balanced",1
"S26","Cheng-GM",0.1,30,"ar1","unbalanced",0.1
"S34","Cheng-GM",0.1,30,"ar1","unbalanced",0.045
"S26","Proposed",0.1,30,"ar1","unbalanced",0.04
"S34","Proposed",0.1,30,"ar1","unbalanced",0.055
"S26","Schott",0.1,30,"ar1","unbalanced",0.79
"S34","Schott",0.1,30,"ar1","unbalanced",0.62
"S26","Cheng-GM",0.2,30,"ar1","unbalanced",0.285
"S34","Cheng-GM",0.2,30,"ar1","unbalanced",0.195
"S26","Proposed",0.2,30,"ar1","unbalanced",0.425
"S34","Proposed",0.2,30,"ar1","unbalanced",0.095
"S26","Schott",0.2,30,"ar1","unbalanced",1
"S34","Schott",0.2,30,"ar1","unbalanced",1
"S28","Cheng-GM",0.1,50,"ar1","unbalanced",0.07
"S30","Cheng-GM",0.1,50,"ar1","unbalanced",0.165
"S36","Cheng-GM",0.1,50,"ar1","unbalanced",0.04
"S38","Cheng-GM",0.1,50,"ar1","unbalanced",0.045
"S28","Proposed",0.1,50,"ar1","unbalanced",0.045
"S30","Proposed",0.1,50,"ar1","unbalanced",0.115
"S36","Proposed",0.1,50,"ar1","unbalanced",0.025
"S38","Proposed",0.1,50,"ar1","unbalanced",0.06
"S28","Schott",0.1,50,"ar1","unbalanced",0.845
"S30","Schott",0.1,50,"ar1","unbalanced",1
"S36","Schott",0.1,50,"ar1","unbalanced",0.65
"S38","Schott",0.1,50,"ar1","unbalanced",0.945
"S28","Cheng-GM",0.2,50,"ar1","unbalanced",0.25
"S30","Cheng-GM",0.2,50,"ar1","unbalanced",0.83
"S36","Cheng-GM",0.2,50,"ar1","unbalanced",0.135
"S38","Cheng-GM",0.2,50,"ar1","unbalanced",0.49
"S28","Proposed",0.2,50,"ar1","unbalanced",0.18
"S30","Proposed",0.2,50,"ar1","unbalanced",0.65
"S36","Proposed",0.2,50,"ar1","unbalanced",0.085
"S38","Proposed",0.2,50,"ar1","unbalanced",0.315
"S28","Schott",0.2,50,"ar1","unbalanced",1
"S30","Schott",0.2,50,"ar1","unbalanced",1
"S36","Schott",0.2,50,"ar1","unbalanced",1
"S38","Schott",0.2,50,"ar1","unbalanced",1
"S32","Cheng-GM",0.1,100,"ar1","unbalanced",0.13
"S40","Cheng-GM",0.1,100,"ar1","unbalanced",0.04
"S32","Proposed",0.1,100,"ar1","unbalanced",0.065
"S40","Proposed",0.1,100,"ar1","unbalanced",0.02
"S32","Schott",0.1,100,"ar1","unbalanced",1
"S40","Schott",0.1,100,"ar1","unbalanced",0.98
"S32","Cheng-GM",0.2,100,"ar1","unbalanced",0.81
"S40","Cheng-GM",0.2,100,"ar1","unbalanced",0.595
"S32","Proposed",0.2,100,"ar1","unbalanced",0.585
"S40","Proposed",0.2,100,"ar1","unbalanced",0.07
"S32","Schott",0.2,100,"ar1","unbalanced",1
"S40","Schott",0.2,100,"ar1","unbalanced",1
"S25","Cheng-GM",0.1,30,"identity","unbalanced",0.035
"S33","Cheng-GM",0.1,30,"identity","unbalanced",0.05
"S25","Proposed",0.1,30,"identity","unbalanced",0.02
"S33","Proposed",0.1,30,"identity","unbalanced",0.04
"S25","Schott",0.1,30,"identity","unbalanced",0.915
"S33","Schott",0.1,30,"identity","unbalanced",0.815
"S25","Cheng-GM",0.2,30,"identity","unbalanced",0.32
"S33","Cheng-GM",0.2,30,"identity","unbalanced",0.14
"S25","Proposed",0.2,30,"identity","unbalanced",0.085
"S33","Proposed",0.2,30,"identity","unbalanced",0.02
"S25","Schott",0.2,30,"identity","unbalanced",1
"S33","Schott",0.2,30,"identity","unbalanced",1
"S27","Cheng-GM",0.1,50,"identity","unbalanced",0.08
"S29","Cheng-GM",0.1,50,"identity","unbalanced",0.175
"S35","Cheng-GM",0.1,50,"identity","unbalanced",0.03
"S37","Cheng-GM",0.1,50,"identity","unbalanced",0.075
"S27","Proposed",0.1,50,"identity","unbalanced",0.04
"S29","Proposed",0.1,50,"identity","unbalanced",0.025
"S35","Proposed",0.1,50,"identity","unbalanced",0.075
"S37","Proposed",0.1,50,"identity","unbalanced",0.03
"S27","Schott",0.1,50,"identity","unbalanced",0.955
"S29","Schott",0.1,50,"identity","unbalanced",1
"S35","Schott",0.1,50,"identity","unbalanced",0.855
"S37","Schott",0.1,50,"identity","unbalanced",1
"S27","Cheng-GM",0.2,50,"identity","unbalanced",0.28
"S29","Cheng-GM",0.2,50,"identity","unbalanced",0.84
"S35","Cheng-GM",0.2,50,"identity","unbalanced",0.17
"S37","Cheng-GM",0.2,50,"identity","unbalanced",0.59
"S27","Proposed",0.2,50,"identity","unbalanced",0.06
"S29","Proposed",0.2,50,"identity","unbalanced",0.095
"S35","Proposed",0.2,50,"identity","unbalanced",0.025
"S37","Proposed",0.2,50,"identity","unbalanced",0.015
"S27","Schott",0.2,50,"identity","unbalanced",1
"S29","Schott",0.2,50,"identity","unbalanced",1
"S35","Schott",0.2,50,"identity","unbalanced",1
"S37","Schott",0.2,50,"identity","unbalanced",1
"S31","Cheng-GM",0.1,100,"identity","unbalanced",0.1
"S39","Cheng-GM",0.1,100,"identity","unbalanced",0.06
"S31","Proposed",0.1,100,"identity","unbalanced",0.015
"S39","Proposed",0.1,100,"identity","unbalanced",0.015
"S31","Schott",0.1,100,"identity","unbalanced",1
"S39","Schott",0.1,100,"identity","unbalanced",0.995
"S31","Cheng-GM",0.2,100,"identity","unbalanced",0.95
"S39","Cheng-GM",0.2,100,"identity","unbalanced",0.595
"S31","Proposed",0.2,100,"identity","unbalanced",0.105
"S39","Proposed",0.2,100,"identity","unbalanced",0.015
"S31","Schott",0.2,100,"identity","unbalanced",1
"S39","Schott",0.2,100,"identity","unbalanced",1
